"x","y","line","user","task","algo","accuracy","autoCompleteUsed","rankOfPredictionUsed","difficulty","supported","training","isGroundTruth","turnedPrediction","selectedCoordsNorm","multiplicity[1;129]"
-0.35123478688955084,-0.557430187701331,12,"5d02ed8f7a3c0f0015cd3230","out_easy_task_2","out_easy_task_2",1.0,False,-1,"easy",True,False,False,False,"[]",129
-0.3133381936011462,1.6759713964048737,12,"5d02ed8f7a3c0f0015cd3230","out_easy_task_2","out_easy_task_2",1.0,False,-1,"easy",True,False,False,False,"[{'x': 1.0, 'y': 1.0}]",105
-5.818771457143549,2.2487395418429226,12,"5d02ed8f7a3c0f0015cd3230","out_easy_task_2","out_easy_task_2",1.0,False,-1,"easy",True,False,False,False,"[{'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}]",91
-6.737934348633508,2.3040865171887748,12,"5d02ed8f7a3c0f0015cd3230","out_easy_task_2","out_easy_task_2",1.0,False,-1,"easy",True,False,False,True,"[{'x': 0.6293289359671014, 'y': 0.0}, {'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}]",58
-0.35123478688955084,-0.557430187701331,13,"5e9627e6434ee20a82a7d296","out_easy_task_2","out_easy_task_2",0.6666666666666667,True,2,"easy",True,False,False,False,"[]",129
-5.818771457143549,2.2487395418429226,13,"5e9627e6434ee20a82a7d296","out_easy_task_2","out_easy_task_2",0.6666666666666667,True,2,"easy",True,False,False,False,"[{'x': 0.016101633425378483, 'y': 0.6360725171533116}, {'x': 0.0, 'y': 0.6313642544499422}]",91
-0.25908841120631043,-0.5944582395131462,13,"5e9627e6434ee20a82a7d296","out_easy_task_2","out_easy_task_2",0.6666666666666667,True,2,"easy",True,False,False,False,"[{'x': 0.016101633425378483, 'y': 0.6360725171533116}, {'x': 0.0, 'y': 0.6313642544499422}, {'x': 0.06464148331064822, 'y': 0.6476825647339846}, {'x': 0.2447922345156678, 'y': 0.7577433191212274}, {'x': 0.2865741971375917, 'y': 0.8183616672485627}, {'x': 0.11373677655321222, 'y': 0.5367271723485346}, {'x': 0.12926813978903057, 'y': 0.6002677274022125}, {'x': 0.16019549640905711, 'y': 0.5936430267967371}, {'x': 0.19482228353167003, 'y': 0.5330551826913523}, {'x': 0.19222596507709716, 'y': 0.5254519883973748}, {'x': 0.11795807489737338, 'y': 0.4631154673383944}, {'x': 0.17946253796622497, 'y': 0.44544347142131613}, {'x': 0.19072108625061057, 'y': 0.5101506452567992}, {'x': 0.2113569281268687, 'y': 0.4954207106600454}, {'x': 0.2213836534955026, 'y': 0.4533214207205894}, {'x': 0.21816940327634032, 'y': 0.4929513985260679}, {'x': 0.22816535539983415, 'y': 0.48653902994000314}, {'x': 0.21273932706363097, 'y': 0.5133166233788463}]",1
-6.400820858605198,2.843111408062055,13,"5e9627e6434ee20a82a7d296","out_easy_task_2","out_easy_task_2",0.6666666666666667,True,2,"easy",True,False,False,True,"[{'x': 0.2865741971375917, 'y': 0.8183616672485627}, {'x': 0.2447922345156678, 'y': 0.7577433191212274}, {'x': 0.06464148331064822, 'y': 0.6476825647339846}, {'x': 0.0, 'y': 0.6313642544499422}, {'x': 0.016101633425378483, 'y': 0.6360725171533116}, {'x': 0.19816856578026848, 'y': 0.6709035414113234}, {'x': 1.0, 'y': 1.0}]",3
-1.112909992260048,7.19907114355862,13,"5e9627e6434ee20a82a7d296","out_easy_task_2","out_easy_task_2",0.6666666666666667,True,2,"easy",True,False,False,True,"[{'x': 0.2865741971375917, 'y': 0.8183616672485627}, {'x': 0.6955774546779485, 'y': 0.6046213356880543}, {'x': 0.2447922345156678, 'y': 0.7577433191212274}, {'x': 0.549153928133318, 'y': 0.38006936730981167}, {'x': 0.0, 'y': 0.6313642544499422}, {'x': 0.7578238301083806, 'y': 0.5384357102471756}, {'x': 0.016101633425378483, 'y': 0.6360725171533116}, {'x': 0.6293289359671014, 'y': 0.0}, {'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}]",17
-7.092383196608399,2.4597510167047565,13,"5e9627e6434ee20a82a7d296","out_easy_task_2","out_easy_task_2",0.6666666666666667,True,2,"easy",True,False,False,True,"[{'x': 0.7578238301083806, 'y': 0.5384357102471756}, {'x': 0.6293289359671014, 'y': 0.0}, {'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}]",18
