x,y,line,cp,algo,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22,multiplicity,age,groupLabel,clusterProbability
15.539466,31.913311, 0, intermediate, beginner,R,O,Y,W,W,Y,R,W,O,G,R,Y,O,G,G,B,G,G,O,R,R,O,R,R,G,R,R,G,O,W,B,O,G,O,W,W,W,Y,Y,W,Y,Y,O,Y,Y,W,B,B,B,B,B,B,G,B,1,0.41304347826086957,-1,1
16.499044,32.083763, 0, intermediate, beginner,W,O,Y,W,W,Y,O,W,O,W,R,Y,B,G,G,B,G,G,O,R,R,O,R,R,G,R,R,W,W,O,G,O,B,W,O,G,R,Y,Y,W,Y,Y,R,Y,Y,G,B,B,O,B,B,B,G,B,1,0.42391304347826086,-1,1
18.826468,31.15081, 0, intermediate, beginner,O,W,O,Y,W,W,Y,O,W,B,G,B,B,G,G,B,G,G,G,R,R,B,R,R,O,R,R,W,W,G,G,O,O,W,O,O,R,Y,Y,W,Y,Y,R,Y,Y,G,B,B,O,B,B,Y,R,W,1,0.43478260869565216,-1,1
15.347221,19.195107, 0, intermediate, beginner,R,W,O,W,W,W,R,O,W,G,G,B,O,G,G,Y,G,G,G,R,R,B,R,R,O,R,R,O,O,W,O,O,G,G,W,W,O,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,B,R,W,1,0.44565217391304346,-1,1
-37.47215,-37.813053, 0, intermediate, beginner,R,W,O,W,W,W,G,W,W,Y,O,G,G,G,G,G,G,B,G,R,R,B,R,R,R,O,W,O,O,W,O,O,G,Y,Y,O,R,R,O,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,B,R,W,1,0.45652173913043476,-1,1
-36.82989,-36.94848, 0, intermediate, beginner,G,W,R,W,W,W,W,W,O,R,B,G,G,G,G,G,G,B,B,R,R,R,R,R,W,O,W,O,O,Y,O,O,O,Y,Y,G,R,R,O,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,O,G,W,1,0.4673913043478261,-1,1
13.646995,18.949455, 0, intermediate, beginner,G,W,R,W,W,W,W,O,W,G,G,B,B,G,G,R,G,G,B,R,R,R,R,R,O,R,R,O,O,Y,O,O,O,W,W,O,G,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,O,G,W,1,0.4782608695652174,-1,1
14.300986,17.243368, 0, intermediate, beginner,R,W,W,W,W,O,G,W,W,Y,O,O,B,G,G,R,G,G,B,R,R,G,R,R,G,R,R,O,O,W,O,O,G,W,W,O,G,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,B,R,O,1,0.4891304347826087,-1,1
-35.35927,-34.896984, 0, intermediate, beginner,R,W,W,W,W,O,W,W,O,R,B,Y,G,G,O,G,G,O,B,R,R,G,R,R,G,W,W,O,O,W,O,O,G,Y,Y,G,R,R,G,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,B,R,O,1,0.5,-1,1
-22.769855,-33.890556, 0, intermediate, beginner,W,W,R,W,W,W,O,O,W,G,G,B,G,G,O,G,G,O,B,R,R,R,R,R,O,W,W,O,O,R,O,O,B,Y,Y,Y,R,R,G,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,G,W,1,0.5108695652173914,15,1
22.190092,3.9309852, 0, checkpoint, beginner,W,W,R,W,W,W,O,W,W,B,O,O,G,G,G,G,G,G,B,R,R,R,R,R,G,R,R,O,O,R,O,O,B,O,O,W,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,G,W,1,0.5217391304347826,-1,1
20.369343,12.463568, 0, intermediate, beginner,O,W,W,W,W,W,W,W,R,G,R,B,G,G,G,G,G,G,G,R,R,G,R,R,W,R,R,O,O,B,O,O,O,O,O,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,B,R,1,0.532608695652174,-1,1
28.966944,19.277525, 0, intermediate, beginner,G,R,R,W,W,W,W,W,R,G,R,B,G,G,G,G,G,G,Y,Y,Y,G,R,R,W,R,R,O,W,W,O,O,O,O,O,O,Y,Y,Y,Y,Y,Y,B,O,O,W,B,B,B,B,B,R,B,B,1,0.5434782608695652,-1,1
28.000797,16.928385, 0, intermediate, beginner,W,W,G,W,W,R,R,W,R,W,G,Y,G,G,G,G,G,G,R,Y,Y,B,R,R,B,R,R,O,W,G,O,O,R,O,O,B,Y,Y,Y,Y,Y,Y,B,O,O,W,B,B,B,B,B,O,O,W,1,0.5543478260869565,-1,1
15.355809,-0.6878797, 0, intermediate, beginner,O,W,G,W,W,R,R,W,R,W,G,Y,G,G,G,G,G,G,W,W,G,B,R,R,B,R,R,O,O,B,O,O,R,O,O,B,Y,Y,Y,Y,Y,Y,Y,Y,R,B,B,W,B,B,O,W,B,O,1,0.5652173913043478,-1,1
11.924848,0.1339489, 0, intermediate, beginner,R,W,O,W,W,W,R,R,G,B,B,W,G,G,G,G,G,G,W,W,G,B,R,R,O,R,R,O,O,W,O,O,G,O,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,R,B,B,W,B,B,O,B,R,B,1,0.5760869565217391,-1,1
30.297098,15.759003, 0, intermediate, beginner,W,W,G,W,W,W,R,R,G,B,B,W,G,G,G,G,G,G,R,Y,Y,B,R,R,O,R,R,R,W,O,O,O,G,O,O,Y,Y,Y,Y,Y,Y,Y,W,O,O,B,B,B,R,B,B,B,O,W,1,0.5869565217391305,-1,1
28.681734,20.654354, 0, intermediate, beginner,G,R,R,W,W,W,G,W,W,W,O,B,G,G,G,G,G,G,Y,Y,Y,G,R,R,O,R,R,R,W,O,O,O,B,O,O,R,Y,Y,Y,Y,Y,Y,W,O,O,B,B,B,R,B,B,W,B,B,1,0.5978260869565217,-1,1
18.001785,14.768455, 0, intermediate, beginner,R,W,O,W,W,W,G,W,W,W,O,B,G,G,G,G,G,G,G,R,R,G,R,R,O,R,R,O,O,W,O,O,B,O,O,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,B,R,W,1,0.6086956521739131,-1,1
19.26885,2.6725135, 0, intermediate, beginner,G,W,R,W,W,W,W,W,O,O,G,G,G,G,G,G,G,G,B,R,R,R,R,R,W,R,R,O,O,W,O,O,O,O,O,B,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,R,B,W,1,0.6195652173913043,-1,1
23.85044,-2.3319736, 0, intermediate, beginner,G,W,R,W,W,W,W,R,R,G,G,G,G,G,G,O,G,G,B,R,R,R,R,R,Y,Y,Y,O,O,W,O,O,O,W,W,O,B,O,O,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,R,B,W,1,0.6304347826086957,-1,1
23.880772,0.26204005, 0, intermediate, beginner,W,W,G,R,W,W,R,W,R,Y,R,B,G,G,G,O,G,G,R,R,R,B,R,R,W,Y,Y,O,O,G,O,O,G,W,W,G,B,O,O,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,O,O,W,1,0.6413043478260869,-1,1
32.394672,19.300812, 0, intermediate, beginner,R,R,R,R,W,W,R,W,R,Y,R,B,G,G,G,O,G,G,Y,Y,Y,B,R,R,W,Y,Y,W,W,G,O,O,G,W,W,G,B,O,O,Y,Y,Y,G,O,O,O,B,B,O,B,B,W,B,B,1,0.6521739130434783,-1,1
32.479034,19.561914, 0, intermediate, beginner,R,W,R,R,W,W,R,R,R,G,G,G,G,G,G,O,G,G,B,Y,Y,R,R,R,Y,Y,Y,W,W,B,O,O,B,W,W,W,B,O,O,Y,Y,Y,G,O,O,O,B,B,O,B,B,Y,B,W,1,0.6630434782608695,-1,1
