x,y,line,cp,algo,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
-46.371838, -4.718331, 10, intermediate, beginner,W,W,W,W,W,W,Y,W,W,O,R,R,G,G,G,G,G,B,B,R,Y,B,R,R,B,R,Y,O,O,G,O,O,G,R,O,G,W,Y,R,Y,Y,Y,Y,Y,R,B,B,G,B,B,B,O,O,O
0.74123305, 48.791325, 10, intermediate, beginner,W,W,W,W,W,W,B,R,Y,R,G,B,R,G,G,O,G,G,B,R,Y,B,R,R,R,Y,W,O,O,G,O,O,G,Y,W,W,G,O,R,Y,Y,Y,Y,Y,R,B,B,G,B,B,B,O,O,O
-61.510235, -7.1691246, 10, intermediate, beginner,W,W,W,W,W,W,B,R,Y,R,G,B,R,G,G,W,R,Y,B,R,B,B,R,B,R,Y,G,O,O,G,G,O,G,G,W,W,R,Y,R,O,Y,Y,G,Y,Y,Y,O,O,B,B,B,O,O,O
-59.62495, -11.837565, 10, intermediate, beginner,W,W,W,W,W,W,G,W,W,W,R,R,R,G,G,Y,G,B,B,R,B,B,R,B,B,R,Y,O,O,G,G,O,G,R,Y,R,G,Y,R,O,Y,Y,G,Y,Y,Y,O,O,B,B,B,O,O,O
-50.747257, -9.948092, 10, intermediate, beginner,W,W,W,W,W,W,G,W,W,W,R,R,R,G,G,O,G,R,B,R,B,B,R,G,B,R,Y,O,O,G,O,O,G,Y,Y,R,G,O,G,Y,Y,Y,Y,Y,R,B,B,Y,B,B,B,O,O,O
-57.135834, -2.4874566, 10, intermediate, beginner,W,W,W,W,W,W,B,R,Y,R,G,R,R,G,G,W,R,O,B,R,B,B,R,G,G,O,G,O,O,G,O,O,G,G,W,W,R,Y,Y,Y,Y,Y,Y,Y,R,B,B,Y,B,B,B,O,O,O
-58.38892, -4.4427533, 10, intermediate, beginner,W,W,W,W,W,W,B,R,Y,R,G,R,R,G,G,G,G,B,B,R,B,B,R,B,G,O,Y,W,O,G,R,O,G,O,W,W,Y,Y,R,Y,Y,Y,R,Y,Y,G,O,O,B,B,B,O,O,O
-55.092323, -12.7434225, 10, intermediate, beginner,W,W,W,W,W,W,O,W,W,G,R,R,G,G,G,B,G,R,B,R,B,B,R,B,B,R,Y,W,O,G,R,O,G,R,Y,Y,Y,O,G,Y,Y,Y,R,Y,Y,G,O,O,B,B,B,O,O,O
-49.87903, -5.6922655, 10, intermediate, beginner,W,W,W,W,W,W,O,W,W,G,R,R,G,G,G,W,R,R,B,R,R,B,R,G,B,R,B,O,O,G,O,O,G,G,Y,Y,R,Y,Y,Y,Y,O,Y,Y,G,B,B,Y,B,B,B,O,O,O
-55.856815, -0.6289188, 10, intermediate, beginner,W,W,W,W,W,W,B,R,B,R,G,R,R,G,R,G,G,W,B,R,R,B,R,G,Y,Y,R,O,O,G,O,O,G,O,W,W,Y,Y,G,Y,Y,O,Y,Y,G,B,B,Y,B,B,B,O,O,O
