x,y,line,cp,algo,difference,age,id,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
18.045591, -11.551174, 0,state, 0, 32, 73, 73,G,G,W,W,W,G,G,W,G,W,R,Y,Y,G,Y,Y,G,Y,B,B,B,R,R,R,R,R,R,W,O,Y,O,O,G,O,O,R,B,Y,B,B,Y,B,G,Y,W,O,B,R,W,B,W,O,O,O
19.284372, -9.870725, 0,state, 0, 28, 74, 74,W,G,G,G,W,W,G,W,G,Y,G,R,Y,G,Y,Y,G,Y,Y,B,B,R,R,R,W,R,R,W,O,O,O,O,O,O,O,O,B,Y,B,B,Y,B,G,Y,W,O,B,R,W,B,W,B,R,R
17.772453, -7.7390685, 0,state, 0, 22, 75, 75,O,G,G,W,W,W,B,W,G,W,G,R,G,G,Y,G,G,Y,Y,B,B,R,R,R,W,R,R,O,O,W,O,O,O,O,O,O,Y,Y,B,Y,Y,B,Y,Y,W,B,B,R,B,B,W,G,R,R
13.146004, -4.7051816, 0,state, 0, 24, 76, 76,B,W,O,W,W,G,G,W,G,W,R,Y,G,G,Y,G,G,Y,G,B,B,R,R,R,R,R,R,O,O,W,O,O,G,O,O,R,Y,Y,B,Y,Y,B,Y,Y,W,B,B,R,B,B,W,O,O,W
-0.18976237, -9.470968, 0,state, 0, 15, 77, 77,B,W,R,W,W,W,G,W,W,W,R,O,G,G,G,G,G,G,B,R,R,B,R,R,G,R,R,O,O,W,O,O,G,O,O,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,O,O,W
-5.519905, -9.069193, 0,state, 0, 9, 78, 78,R,W,W,W,W,W,B,W,G,W,G,R,G,G,G,G,G,G,O,R,R,R,R,R,W,R,R,O,O,W,O,O,O,O,O,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,B,B,G
1.8576046, -4.3361554, 0,state, 0, 16, 79, 79,W,W,W,G,W,W,G,W,G,Y,G,R,Y,G,G,Y,G,G,O,R,R,R,R,R,W,R,R,W,O,O,O,O,O,O,O,O,B,Y,Y,B,Y,Y,B,Y,Y,R,B,B,W,B,B,B,B,G
2.4135416, -0.6478532, 0,state, 0, 23, 80, 80,G,G,W,W,W,W,G,W,W,W,R,O,Y,G,G,Y,G,G,B,R,R,B,R,R,G,R,R,W,O,Y,O,O,G,O,O,R,B,Y,Y,B,Y,Y,B,Y,Y,R,B,B,W,B,B,O,O,O
17.65085, -11.436534, 0,state, 0, 33, 81, 81,G,G,O,W,W,G,G,W,G,W,R,Y,Y,G,Y,Y,G,Y,G,B,B,R,R,R,R,R,R,W,O,Y,O,O,G,O,O,R,B,Y,B,B,Y,B,B,Y,O,R,B,W,W,B,W,O,O,W
19.201328, -9.496658, 0,state, 0, 31, 82, 82,O,G,G,G,W,W,G,W,G,Y,G,R,Y,G,Y,Y,G,Y,Y,B,B,R,R,R,W,R,R,W,O,W,O,O,O,O,O,O,B,Y,B,B,Y,B,B,Y,O,R,B,W,W,B,W,G,R,R
