x,y,line,cp,algo,age,a8,b8,c8,d8,e8,f8,g8,h8,a7,b7,c7,d7,e7,f7,g7,h7,a6,b6,c6,d6,e6,f6,g6,h6,a5,b5,c5,d5,e5,f5,g5,h5,a4,b4,c4,d4,e4,f4,g4,h4,a3,b3,c3,d3,e3,f3,g3,h3,a2,b2,c2,d2,e2,f2,g2,h2,a1,b1,c1,d1,e1,f1,g1,h1
19.869350325142406,13.154195216656204,0,0,Nf3,52,,br,,,,bn,bk,,br,,,,,,,bp,,,bp,,bp,,bp,bq,,bp,wp,bp,wp,bp,,,bp,wp,,wp,,,,wp,wp,wn,,,wp,,wp,,,,,,,wq,,,wr,wr,,,,wk,,
19.849111093002413,13.138482793495342,0,0,Nf3,53,,br,,,,bn,bk,,br,,,,,,,bp,,,bp,,bp,,bp,bq,,bp,wp,bp,wp,bp,,,bp,wp,,wp,,,,wp,wp,,,,wp,,wp,,,,,wn,,wq,,,wr,wr,,,,wk,,
19.800024994425456,13.09656763804086,0,0,Nf3,54,,br,,,,bn,bk,,br,,,,,,,bp,,,bp,,bp,,,bq,,bp,wp,bp,wp,bp,bp,,bp,wp,,wp,,,,wp,wp,,,,wp,,wp,,,,,wn,,wq,,,wr,wr,,,,wk,,
19.736638766225596,13.041398085594581,0,0,Nf3,55,,br,,,,bn,bk,,br,,,,,,,bp,,,bp,,bp,,,bq,,bp,wp,bp,wp,bp,bp,,bp,wp,,wp,,,,wp,wp,,,,wp,wn,wp,,,,,,,wq,,,wr,wr,,,,wk,,
19.73945814405236,13.04364350351464,0,0,Nf3,56,,br,,,,bn,bk,,br,,,,,,,bp,,,bp,,bp,,,bq,,bp,wp,bp,wp,bp,,,bp,wp,,wp,,,,bp,wp,,,,wp,wn,wp,,,,,,,wq,,,wr,wr,,,,wk,,
19.645812881444268,12.961856716773001,0,0,Nf3,57,,br,,,,bn,bk,,br,,,,,,,bp,,,bp,,bp,,,bq,,bp,wp,bp,wp,bp,,,bp,wp,,wp,,,,wp,wp,,,,wp,wn,,,,,,,,wq,,,wr,wr,,,,wk,,
19.541532925383475,12.876158074383358,0,0,Nf3,58,,br,,,,,bk,,br,,,,,,,bp,,,bp,,bp,,bn,bq,,bp,wp,bp,wp,bp,,,bp,wp,,wp,,,,wp,wp,,,,wp,wn,,,,,,,,wq,,,wr,wr,,,,wk,,
19.30449977872937,12.670020799850215,0,0,Nf3,59,,br,,,,,bk,,br,,,,,,,bp,,,bp,,bp,,bn,bq,,bp,wp,bp,wp,bp,,,bp,wp,,wp,,,,wp,wp,,,,wp,wn,,,,,,,wk,wq,,,wr,wr,,,,,,
19.060636437904087,12.468573995508617,0,0,Nf3,60,,br,,,,,bk,,br,,,,,,,bp,,,bp,,bp,,bn,bq,,bp,wp,bp,wp,,,,bp,wp,,wp,,bp,,wp,wp,,,,wp,wn,,,,,,,wk,wq,,,wr,wr,,,,,,
18.856010973317346,12.286386082543455,0,0,Nf3,61,,br,,,,,bk,,br,,,,,,,bp,,,bp,,bp,,bn,bq,,bp,wp,bp,wp,,,,bp,wp,,wp,,bp,,wp,wp,,,,wp,wn,,,,,,,wk,wq,,,wr,,,,,,wr,
